NY,23710,3,23685,3,24693,3,25089,4,25807,4,27106,4,28497,4,30012,4,31416,4,32625,4,34623,5,35476,5,35448,5,36264,5,38660,5,41108,5,44567,5,47852,4,49408,4,46739,5,49119,4,51126,4,52095,4
NC,17194,34,17691,33,18886,31,19704,30,20630,30,21615,29,22714,29,23945,28,25301,30,26326,29,27906,30,28359,31,28428,34,28934,37,30480,35,31905,34,33373,34,34761,36,35741,37,34001,35,34604,36,36028,37,37049,38
ND,15866,39,16167,42,17639,38,17696,42,19156,38,19004,42,21279,37,20854,45,23177,38,23502,39,25592,38,26574,38,27161,38,29468,34,29925,38,31795,36,32914,38,36208,27,40877,17,39372,17,42462,11,47236,7,51893,6
OH,18638,21,19013,21,20025,21,20676,21,21818,21,22653,21,23545,23,24912,21,26418,22,27293,22,28695,24,29275,27,29849,25,30672,26,31580,29,32445,29,34008,30,35183,34,36401,34,35001,33,35931,31,37836,31,39289,30
OK,16077,37,16434,38,17269,39,17772,40,18427,43,18973,44,19936,44,20899,44,21949,45,22757,44,24602,42,26200,39,26185,39,26862,40,28702,39,30333,39,33040,37,34329,38,37694,31,34082,34,35535,34,37679,32,39006,32
OR,17895,26,18469,26,19201,27,20077,24,21219,24,22531,22,23751,22,24854,22,26016,24,27016,25,28728,23,29250,28,29797,26,30582,27,31650,27,32557,28,34706,26,35950,28,37407,32,35159,32,35906,32,37527,33,38786,33
PA,19433,18,20171,15,21050,17,21655,16,22355,18,23226,19,24384,17,25566,18,27367,16,28348,16,30113,16,30683,18,31438,17,32288,18,33664,18,34719,20,36984,20,38927,20,40674,18,39210,18,40444,18,42291,20,43616,19
RI,19821,14,19981,18,20820,18,21600,18,22199,19,23364,18,24299,18,25621,17,26945,17,27741,18,29498,17,31197,16,32160,15,33477,16,34976,17,36117,17,38251,17,40349,15,41822,15,40460,15,42001,15,43875,15,44990,14
SC,15844,40,16256,40,17010,43,17651,43,18579,42,19384,40,20359,40,21287,38,22573,39,23550,38,25076,39,25637,41,26049,40,26663,41,27844,43,29131,44,30794,45,31990,45,32971,46,31448,47,32193,46,33388,48,34266,48
SD,16075,38,16666,37,17740,37,18248,37,19503,36,19610,38,21672,35,22085,37,23736,36,24816,36,26421,36,27865,35,28103,36,30526,28,32294,24,33306,24,33948,31,36993,25,40313,22,38147,22,39558,20,44217,12,43659,18
TN,16574,36,17242,36,18527,34,19331,33,20283,32,21339,31,22136,33,23031,34,24462,34,25370,34,26689,35,27551,36,28162,35,29041,36,30285,36,31327,37,32885,39,34221,39,35112,40,33711,37,35103,35,36567,35,37678,34
TX,17260,32,17763,31,18765,33,19413,32,20161,34,21070,32,22260,31,23812,29,25376,29,26399,28,28506,27,29185,29,28966,30,29622,32,31115,33,33220,25,35287,25,37098,24,39615,25,36595,27,38222,25,40147,25,41471,25
UT,14847,46,15479,47,16135,48,16845,47,17775,46,18765,45,19899,45,21001,42,22188,43,22943,43,24515,43,25618,42,25754,45,26051,46,27254,46,29104,45,31035,44,32761,42,34025,42,31778,44,32121,47,33509,46,34601,46
VT,17643,27,17869,29,18941,30,19446,31,20255,33,21057,33,22106,34,23168,33,24921,32,26268,30,28196,29,29477,24,29994,24,30960,24,32640,23,33317,23,35867,21,37820,22,39433,26,38530,20,39736,19,41572,21,42994,21
VA,20312,11,20953,12,21842,13,22596,12,23534,11,24360,14,25354,14,26695,14,28199,14,29617,13,31634,12,33246,10,33737,11,35033,9,36869,9,38898,6,41218,8,43261,7,44691,8,42929,6,44134,7,46107,8,47082,8
WA,19637,16,20583,14,21581,14,22139,15,22981,16,23778,16,25280,15,26749,13,28821,11,30521,11,32410,11,32966,12,33126,14,33909,12,35998,12,36766,16,39570,13,42192,11,44106,11,41504,10,42024,14,43878,14,45413,12
WV,14436,48,15086,49,16081,49,16549,49,17269,49,17817,49,18567,49,19373,49,20472,49,21049,49,22173,49,23573,49,24302,48,24773,49,25599,49,26443,50,28372,49,29497,50,31286,49,30968,48,31806,48,33403,47,34477,47
WI,17986,23,18494,25,19674,23,20398,22,21550,22,22387,23,23509,24,24777,23,26619,19,27652,19,29141,20,30105,19,30799,19,31619,20,32699,22,33635,22,35598,23,36831,26,38172,28,36859,25,38010,26,39575,27,40537,26
WY,17910,25,18589,23,19344,25,20065,25,20741,29,21358,30,22233,32,23774,30,25496,27,27192,23,29261,19,31216,15,31890,16,33634,15,35825,13,38839,7,43836,6,45281,6,49104,5,42828,7,45353,6,47898,6,48670,7
